Product,Avg_Rate
bru instant c,9.95
bru instant r,1.99875
bru instant s,275.0
bun,31.954887218045112
bush yellow,10.0
cabbage,26.714601769911503
cad chocobak,11.921428571428573
cad dairy mil,24.76208695652174
cad fuse rs20.,19.75
cad shot rs10,9.95
candy tadka,4.95
capsicum,86.35730858468678
carrot,63.8001485884101
cauliflower,32.2075
cavins choco,34.75
center fresh,1.0
center fruit w,1.0
center frut s,1.0
center frut x,9.9
champion waf,29.0
chandrika 125,74.29545454545455
chandrika 75g,34.5
cheera,21.19047619047619
cheetos cheez,9.914285714285715
chemb,80.0
chena,60.046728971962615
cheru kaya pa,39.60176991150443
cheruchemb,50.0
cherukaya po,39.377079482439925
cherupayar 1,118.29545454545455
cherupayar 2,30.784313725490197
cherupayar 5,62.47826086956522
chikku,60.625
chilli surpric,9.75
chiravakka,50.0
chocopie mon,9.751339285714286
chocos 110gm,74.0
chocos 60gm,19.75
cholam popco,140.22222222222223
cholathavid,35.0
chukku(dry g,600.0
chupachups b,4.95
chupachups c,6.611111111111111
chupachups g,4.760000000000001
chupachups r,7.2
classmate 200,23.0
clinic plus s&,1.0
cliniclus brid,19.75
clorex clean,35.0
clorex lnn 1l,70.0
clos up 40gm,19.75
close up 150gm,130.0
close up(90g),67.42857142857143
coconut oil l,284.1019417475728
col cibaca 80g,29.5
col cibaca sf,28.0
col kids tp40g,93.0
col max fresh,72.75
col sf12+2sf(m,19.0
colgate activ,77.0
colgate kids,19.0
colgate max,19.75
colgate stro,69.98684210526316
colgate toot,104.19047619047619
colgate tp 38g,19.75
comfort fab b,76.73387096774194
comfort fab l,34.116
cornflour ma,90.35353535353535
cover,7.0
craze bourbo,24.5
craze coffee,30.58823529411765
craze milkru,34.63793103448276
cucumber,35.659627329192546
curd,31.428571428571427
cutee jasmine,17.405405405405407
cutee lavend,17.75
cutee milky a,17.266666666666666
cutee papaya,18.0
cutee sandal,18.0
cutee silky sk,17.5
cytrus,118.91566265060241
dabur honey,84.48717948717949
dabur red pas,69.0
dai crispello,33.589999999999996
dai milk choc,98.0
dairymilk mr,7.582199999999999
dalda 500ml,95.0
dalda(100ml),22.404255319148938
dalda(200ml),43.8
dark fantasy,26.25
dettol 125 ml,80.0
dettol 250 ml,153.0
dettol 60 ml,40.0
dettol plaste,2.5
devon turmer,38.51754385964912
dew 250ml,19.5
dh aval white,62.1
dh avalredth,75.0
dh easy idiya,58.0
dh easy palap,58.0
dh esypalappa,100.0
dh matta bro,70.81818181818181
dh paladamix,85.0
dh ragi powde,63.0
dh roasted ra,74.66666666666667
dh samba bro,148.14285714285714
dh vinegar 1l,45.0
dh vinegar 50,28.0
dhathri d.sha,54.333333333333336
di shots mrp 5,4.98
disano oats 1,275.0
dish gold 3+2=,29.0
dish gold liqu,110.0
double rose,43.973270440251575
dove cream b,63.1
dr wash cake,32.7906976744186
drinks,18.6056338028169
drumstick,118.36393989983306
dry fish,31.67721518987342
dry lemon,5.0
dura cell(aa,18.875
eager biriyan,140.0
eager cardam,9.75
eager cashew,9.753731343283581
eager chilly,43.73684210526316
eager chukku,11.416666666666666
eager grambu,9.75
eager kismiss,9.75
eager kurumu,9.75
eager lemon,4.9
eager masala,28.385531135531135
eager pappad,9.75
eager ponkat,86.3768115942029
eager soya 20,45.05128205128205
eager split ca,9.75
eager tomato,56.889763779527556
eager yest 5g,9.75
eagle basmat,85.0
ealam,3800.0
eallvan,29.453441295546558
east chicken,9.75
east chilly pd,33.28395061728395
east chkn m p,46.425
east coriadr,28.531525423728812
east crshd ch,50.0
east fennel p,30.0
east garam m,50.0
east k chilly,50.0
east meat ma,30.93421052631579
east papper(50,60.0
east pepper pd,115.0
east pickle pd,50.93333333333333
east samb pow,9.75
east sambar p,42.451219512195124
east turmrc p,35.02597402597402
eco frootpur,19.5
egg,5.751610017889088
elite atta 2kg,120.52631578947368
elite bansi ra,45.46153846153846
elite brocken,45.0
elite carrot p,198.625
elite chakki,66.94845360824742
elite chappat,54.98076923076923
elite choclat,44.0
elite dates pu,186.25
elite fruitbar,39.0
elite maida 1k,70.0
elite maida 50,37.17142857142857
elite milk rus,30.9625
elite orange,39.0
elite pinapple,39.0
elite ragi pow,55.0
elite rava 1 k,75.0
elite rava 500,39.8054054054054
elite samba b,89.0
elite soya ch,39.57432432432432
elite vanila b,39.0
elite white oa,95.0
ellu 1 kg,357.14285714285717
evereaday aa,20.0
eveready aaa,20.0
eveready ult,20.0
everyday 100g,66.0
everyday 200g,118.0
everyday 32x,230.0
everyday(28g,9.947972972972973
exo steel 12in,10.0
fiama gel bar,38.0
five star 5 (54n,4.98
five star mrp,9.95
frooti 150ml p,9.75
frooti 300ml,19.75
frooti 600ml,41.5
frooti pet 160,9.9
fruits,52.18181818181818
g.expert rich,14.75
galaxy flute,9.9
gems mrp10(64,9.93
gems mrp5(108,4.98
gems mrp5(96n,4.99
gems surprise,49.5
ggs chappath,50.092879256965944
gillette guar,34.910714285714285
gillette pres,24.5
gillette wilk,24.5
ginger,85.21536670547148
gk flash refil,83.04761904761905
godrej expert,14.5
gold 916 bar 8,110.0
goldwinner s,120.65600624024961
goodknight m,37.0
govaka,56.22222222222222
grambu,1000.0
grape,159.84304932735427
grape p,102.50659340659341
grb mango so,68.0
green chillie,19.788235294117648
green chillis,30.08256880733945
green chilly,70.87000928505107
green mango,74.09448818897638
grower,35.0
gum,22.307692307692307
h 200g peanut,100.0
h peanut crun,250.0
h200g peanut,100.0
ha jam mix 100,24.5
ha jam pinea 1,24.5
haldi halke f,9.5
hamam soap 1,40.0
hamam soap15,68.0
happy idm man,38.69230769230769
happy idm ora,60.120000000000005
happy idm pine,29.0
happy mixed j,59.0
harpic 1l ora,190.0
harpic bcl 200,47.300000000000004
harpic bcl 500,112.0
harpic origin,81.64237288135593
he pop jr rs5  (,4.98
he pop jr rs5(w,4.98
he pop jr rss(m,4.99
he syr  choco,9.9
hide seek 200g,59.0
hide seek120g,29.010526315789473
hima babysoa,90.0
hima neem fac,60.48529411764706
hit chalk mrp,15.0
hit cik 200ml r,103.0
home liites,9.75
horlicks 24gm,9.95
horlicks 500g,270.0
horlicks(10gm,4.950267857142857
horlicks(18gm,4.98
hygein lemon,60.0
hyginic car w,4.75
hyginic white,45.0
hygnic lemon,35.0
i flo crystal,15.640625
i flofree iodis,19.881410256410255
idhayam sesa,120.21428571428571
idly  &  dosa,59.520833333333336
idly rice ponn,50.0
india gate (w),120.0
india gate go,125.0
indomie nood,105.0
jathi pathrika,2875.0
jaya lalitha,46.96875
jeerakasala r,122.32704402515724
juice grape,100.31531531531532
juzt jelly ora,9.9
juztjelly ass,9.9
k gold rice,43.98019801980198
k joy t 1 16x9(g,45.81818181818182
k joy t 16x9(bo,46.21875
kabani active,200.0
kabani rinse l,276.42857142857144
kabani zodet,290.0
kada mutta,3.0
kadala 1/2kg,49.19417475728155
kadala 1kg,94.52564102564102
kadala 250g,29.2
kadalamavu,61.69613259668508
kadalaparip l,113.75
kaipa,49.36224489795919
kajah tea 250g,75.0
kajah tea(100g,30.0
kanan devan,99.3041958041958
kanji pullu,50.0
kappalandi pa,140.0
karimjeeraka,400.0
kaskas black,410.7142857142857
kathir ric pw,56.4496644295302
kathir rice pw,311.0
kd red 100g rs,31.666666666666668
kd red 250 72,78.0
kelloyys cho,9.754411764705882
keralaglod c,234.4125
keralagoldc,124.81
kiran matha,23.668733392382638
kitcheen trea,35.0
kitchen birya,55.0
kitchen black,9.75
kitchen bpp 50,60.0
kitchen chick,43.64150943396226
kitchen cumin,39.51761658031088
kitchen fenne,23.11904761904762
kitchen fish m,50.0
kitchen gara,50.0
kitchen kadu,14.970610687022901
kitchen kash,65.55434782608695
kitchen pickl,50.0
kitchen samb,23.3671875
kitchen turm,36.0
kitchen ullva,25.68888888888889
kitkat 2f mini,9.95
kitkat family,58.0
kiyar,55.15151515151515
klf pouch 1lt,285.55555555555554
klf pouch 500m,145.0
kodapuly,350.0
kokkuvada,48.392857142857146
kolli,30.0
kolli varave,41.43518518518518
kondattam,54.62171052631579
kopiko cofee,4.95
kothamara,45.4054054054054
kp dhahamuk,19.0
kp paste gel 8,52.0
kp tooth past,50.236111111111114
kp tooth pow,34.65625
kpl coconut o,268.438679245283
kpl cocunut o,136.4390243902439
kuchelan ma,32.800632911392405
kuchelan wh,29.814814814814813
kurka,53.241042345276874
kurkure chil,19.75
kurkure gree,11.535416666666668
kurkure masa,14.467857142857143
kurkure puff,14.04736842105263
kurkure red t,19.75
kurumulaku,724.074074074074
l g 100pwd b/l,175.0
l g 50gm pwd,88.02030303030303
l g cake 100gm,165.0
l g cake 50gm,84.625
layer pellet,35.0
lays blue ind,12.63103448275862
lays blue mag,29.75
lays blue rs1,9.8625
lays green 11,49.5
lays green am,29.75
lays green rs,16.46641791044776
lays india ma,19.75
lays korean c,9.75
lays orange,12.62844827586207
lays orange r,9.75
lays orange s,29.75
lays red rs10,9.842307692307692
lays red span,49.5
lays red toma,29.75
lays sizzlin h,14.783333333333333
lays so green,4.95
lays spanish t,19.75
lays wafer st,9.75
lays westind,49.5
lemon,76.30056864337936
lia natures g,34.5
lia pineapple,39.833333333333336
lifebouy tota,37.0
lighter,22.321428571428573
lizol citrus 5,120.0
lizol floral 5,120.0
lux bright gl,44.871249999999996
lux creamy p,82.0
lux even-ton,37.0
lux sandal w,39.0
lux soft glow,116.68181818181819
maggi 2 min fa,117.73076923076923
maggi 2 min m,43.45679012345679
maggi 2 min na,29.746875
maggi 2 minn m,85.5
maggi chicke,19.75
maggi chicken,63.3
maggi coconu,77.9326923076923
maggi cube,21.313725490196077
maggi tomato,33.65489130434783
magix kr elac,9.9
magixkreams,9.9
maida 1kg,51.14861111111111
maida 250gm,15.0
maida 500gm,28.57591623036649
malabar nan,65.0
malathion(me,39.285714285714285
malkist chees,40.75338345864662
malkist choc,38.75949367088607
malli podi loo,73.58490566037736
mallilla,97.94277286135693
mally 1kg,118.94623655913979
man milk rusk,49.93055555555556
manjal,208.33333333333334
manjal podi,299.25
masala,26.842105263157894
master bakin,19.0
master cocoa,75.0
master corn f,25.0
master custa,38.0
master manth,50.0
mathan,26.976744186046513
mayasupreme,10.375
mayora coffe,45.0
medimix class,40.80555555555556
melodychoco,74.94117647058823
mentos rainb,9.883333333333333
mentos sb200 p,1.0
milk,28.0
milk mist cho,39.0
milk mist thy,50.912727272727274
milky bar mo,9.95
milky mist c b,72.16666666666667
milky mist ch,99.0
milky mist cr,79.0
milky mist t b,72.75
milky mist va,39.25
milkybar mul,58.0
milma ghee 10,78.0
milma ghee 20,150.0
milma ghee 50,350.0
milma thyr,35.0
milmagee 50g,42.0
mirinda 250ml,19.5
mirinda 600ml,39.25
mittai,25.411616161616163
mixture,65.27777777777777
more light ex,325.0
mountain dew,39.05555555555556
mulak podi lo,109.29611650485437
mulaku 1kg,181.67857142857142
munch family,58.0
munch king si,9.75
munch maha b,4.760759493670887
munthiri,300.0
muthira 1/2kg,45.068062827225134
muthira 1kg,83.42528735632185
muthira 250gm,25.0
n payar,53.7037037037037
nabati cheese,19.75
nambisan ghe,165.5
nambisan s gh,175.0
nandhini goo,53.31699346405229
nano basmath,100.0
nataraj glow,3.99
nedra kaya p,74.34368070953437
nedra poka,74.00963718820861
nescafe class,400.0
nescafe sunr,1.99
nestle milkm,134.3125
new choki cho,1.99
nirma lime fr,36.0
njali poka,78.12386156648452
nri chicken pw,45.625
nri meatmasa,45.0
nri sambar po,45.391304347826086
nutella 160g1,220.0
nutrine lolip,1.99
odonil airfre,55.0
old balance,2965.0
om shanthi ca,19.0
orange,87.25941422594143
orbit lemon&,4.95
orbit mixedfr,4.95
oreo choco c,24.634
oreo chocola,9.809195402298851
oreo original,9.9
oreo vanilla,29.0
padavalam,55.91240875912409
pampers blue,39.416666666666664
pampers pant,46.58860759493671
panamkalkan,100.0
pappdam,28.879254457050244
parachute 175,72.0
parachute 250,100.0
parachute 50m,19.75
parachute(100,40.0
parip 1kg,142.76973684210526
parip 250g,38.64
parip 500gm,72.785536159601
parle 20 20  bu,24.0
parle 20 20 cas,34.0
parle g 120gm,9.9
parle g 250gm,24.5
parle g 800gm,98.0
parle g hide&,145.0
parle happy h,20.008163265306123
parle hide&s,29.5
parle hide&se,29.5
parle krack j,48.6948051948052
parle krackja,9.9
parle magix k,9.9
parle milk sh,9.9
parle monaco,34.84285714285714
parle oats&b,9.9
pathimukham,24.307692307692307
patta roll (lo,400.0
pavithram  se,118.0
pavithram se,215.0
pavithram ta,55.72727272727273
pavizham mat,51.05263157894737
pavizham nira,112.71844660194175
pavizham ricb,179.16666666666666
pavizham un m,503.92857142857144
pavizham und,104.92857142857143
payar 1kg,107.61904761904762
payar 250gm,30.666666666666668
payar 500gm,54.08050847457627
payasa parip,140.0
pc ayurvedic,125.0
pc jasmin 90ml,40.0
pears p&g 3x12,230.0
pears p&g sp 1,98.0
pears pure an,51.76136363636363
pears pure&g,39.0
pepsi  2.25l,99.0
pepsi 1ltr,49.166666666666664
pepsi 250ml,19.53409090909091
pepsi 600ml,39.359375
perakka,60.0
ph payar,37.57090012330456
phi led bulb a,90.0
pickle,38.507462686567166
pineapple,63.241457858769934
pineapple sns,25.0
podi elavan,26.740837696335078
podi kizhange,80.0
polo mini jar1,1.99
polo mint rol,4.9750000000000005
poni 555rice,52.0
ponkathir ric,45.0
poovan pazha,70.0
poppins 2 14.4 g,1.99
popular 120gm,39.0
popular cand,71.25
popular qual,110.0
popular steel,95.0
popular60gm,19.0
pori avil 400g,60.0
potato,37.43443065299514
pottu kadala,143.8235294117647
power jumbo,9.75
power pappay,44.0
pran drinko p,39.5
pran float dr,39.214285714285715
pran litchi  15,9.647727272727273
pran litchi 25,19.583333333333332
pran potata s,9.5
pran potato b,24.0
pran pudding,4.916666666666667
pril 125ml pou,14.75
pril lime grea,110.51515151515152
pringles orig,98.66666666666667
ps paripu(pees,80.55555555555556
puly  250g,30.0
puly 1kg,107.22222222222223
puly 500gm,55.0
quaker natur,58.291666666666664
quaker oats 6,125.22727272727273
quatar pafki,9.75
rava 1kg,55.592
rava 250gm,16.0
rava 500gm,30.95679012345679
red 10gm,10.0
red label dst,78.0
red label dus,42.80263157894737
red label lea,295.0
red label lf(b,153.0
red par,100.0
red parip,62.19298245614035
rexona coco&,37.026315789473685
rexona cont,112.0
rice double d,52.0
rice jaya kur,43.0
rice phr i,44.76420454545455
rice phr ii,40.0
rin soap rab d,9.95
rkg 100gm,92.28571428571429
rkg 200gm,180.33333333333334
rkg 500gm ten,410.0
rkg 50gm,50.0
roasted verm,44.12
robest poka,44.853090172239106
ruchi gold 50,75.0
ruchi gold pa,141.1931818181818
rusk,56.67065868263473
sabena dishw,19.333333333333332
sabun rice kg,100.0
sambar kashn,52.591973244147155
samosa sheet,118.0
sangu rice,44.954268292682926
santhoor soa,38.0
scrurrer reg,29.0
sensodyne  40,91.0
sensodyne 150,247.0
sensodyne fr,133.85714285714286
sezens rice po,78.0
sf aashirvaad,38.97953216374269
sf aashirvad,48.0
sf atta super,68.76536312849161
sf boun drem,19.75
sf bounce cre,9.8496
sf cheese wow,40.38461538461539
sf dark fanta,40.47038043478261
sf darkfanta,42.25581395348837
sf drem crem,19.75
sf glucose 250,24.5
sf marire lgt,39.0
sf moms magi,24.5
sf moms magic,40.97820512820513
sf secure dry,34.27777777777778
sf secure xl w,120.28571428571429
sf securexl w,42.07692307692308
sf wowzers ch,4.75
ship superior,9.75
silk chocolae,59.5
silk ganache,209.0
sinnara basm,115.0
siso 5min15gm,20.0
slice 1.2 ltr,69.125
slice 600ml 40,39.05882352941177
slice pet 350m,19.766666666666666
snacks,60.64260869565217
snickers bar,42.833333333333336
snickers cp st,19.75
sofy bodyfit,57.43478260869565
soore white 2,9.120224719101124
soya chunks,121.61290322580645
soya chunks b,120.0
starter,40.0
sugar 1kg,44.200332005312085
sugar 2kg,88.06208425720621
sugar 3kg,132.05339805825244
sugar 500 gm,25.0
sugar 5kg,219.6764705882353
sunflower se,120.0
sunlight laun,29.61111111111111
sunlight liqu,125.0
sunlight ntr,78.18343195266272
supreme chak,65.0
surf excel ba,9.900000000000002
surf excel ew,56.70463302752294
surf excel ma,215.0
surf excelba,34.5
swad red ava,43.0
swarnam 1lr,224.66666666666666
swarnam 200m,51.27205882352941
swarnam ging,78.74019607843137
swee potato,44.051383399209485
t glas bio 150m,65.0
tang lemon 50,162.0
tang lemon m,29.5
tang mango 7,29.5
tang orange,71.84375
tasty plus 5k,244.95555555555555
tea loose,280.0
thadi sarasap,135.0
thakkolam 1k,700.0
thannimatha,23.703703703703702
thara mutta,15.179012345679013
thenga,75.04983388704319
thennai,50.0
thiri nool,9.133333333333333
tho chicken m,40.0
tho dry chill,70.0
tho garlic pk,65.0
tho lime pkl 2,45.0
tho mango pk,60.25
tho tender m,80.0
tholoor samb,39.0
three in one 2,19.535714285714285
three in one 5,48.0
three in one m,50.0
thunder nice,24.321176470588238
tide fres &cle,118.0
tide fresh&cl,51.75
tide jasmin ro,236.23076923076923
tide jasminro,9.5
tide naturals,44.5
tissue paper n,35.0
tomato,23.826860841423947
tt kayam 15gm,29.032258064516128
tt kayam 20gm,31.11764705882353
ujala cake 15,9.76
ujala crisp&s,52.01428571428571
ujala exo bar,10.471491228070175
ujala exo rou,46.526315789473685
ujala exo ste,20.0
ujala exoant,34.0
ujala fast wa,29.0
ujala suprem,45.77777777777778
ujala washin,120.79245283018868
ujalacrisp&sh,110.0
ulli,83.24022346368714
uluva loose,100.0
un choco ripp,9.9
un oatmeal d,48.21951219512195
un ripple 2x12,19.75
unakalari 1k,55.0
uzhunnu 1/2kg,61.300813008130085
uzhunnu 1kg,119.6015625
uzhyunnu 250,30.0
vanila sns 20m,25.0
vannan kaya,44.86470588235294
vattayappam,37.5
vellari,30.687103594080337
venda,46.00388601036269
veppila,61.19736842105263
vicks cough d,1.99
vim bar 250g t,31.5
vim bar 70gm,4.98
vim bar flow,9.779519230769232
vim bar fw 300,29.617346938775512
vim drp dsw l,14.75
vim drp dwlm,14.75
vim liquid yeo,54.0
vip hair colou,50.0
vivel aloever,125.0
w kadala 1 kg,137.78571428571428
w kadala 250,40.0
w kadala 500,73.17307692307692
w kappalandi,235.4198473282443
wheel clean&,38.0
wheel lmn&ja,76.06666666666666
whisper ch 6 p,38.46153846153846
whisper choic,75.23295454545455
white garlic,221.46841397849462
white stick ag,44.294117647058826
whitepeas 1kg,59.53333333333333
whitepeas 250,20.0
whitepeas 500,30.0
wink swissrol,88.0
world cup ric,43.0
wrig boomer,49.888888888888886
yardly handw,105.0
yippee mag ma,47.61904761904762
yippee magms,87.39285714285714
yippee mgcms,118.0
yippee nd mas,14.75
yippeei mood m,60.81818181818182
